Title,Url,Code Link,Confidence,Year
Generalized Trajectory Scoring for End-to-end Multimodal Planning,https://arxiv.org/abs/2506.06664v1,https://github.com/nvlabs/gtrs,high,2506
OV-COAST: Cost Aggregation with Optimal Transport for Open-Vocabulary Semantic Segmentation,https://arxiv.org/abs/2506.03706v1,https://github.com/adityagandhamal/ov-coast,high,2506
Conformal Prediction for Zero-Shot Models,https://arxiv.org/abs/2505.24693v1,https://github.com/jusiro/clip-conformal,medium,2505
Universal Domain Adaptation for Semantic Segmentation,https://arxiv.org/abs/2505.22458v2,https://github.com/ku-vgi/unimap,high,2505
Point-to-Region Loss for Semi-Supervised Point-Based Crowd Counting,https://arxiv.org/abs/2505.21943v1,https://github.com/elin24/p2rloss,medium,2505
CoDEx: Combining Domain Expertise for Spatial Generalization in Satellite Image Analysis,https://arxiv.org/abs/2504.19737v1,https://github.com/abhishek19009/codex,high,2504
Blind Bitstream-corrupted Video Recovery via Metadata-guided Diffusion Model,https://arxiv.org/abs/2604.13906v1,https://github.com/shuyun-wang/m-gdm,high,2604
InterAct: Advancing Large-Scale Versatile 3D Human-Object Interaction Generation,https://arxiv.org/abs/2509.09555v1,https://github.com/wzyabcas/interact,high,2509
"A Training-Free, Task-Agnostic Framework for Enhancing MLLM Performance on High-Resolution Images",https://arxiv.org/abs/2507.10202v1,https://github.com/yenncye/ecp,medium,2507
Rethinking Query-based Transformer for Continual Image Segmentation,https://arxiv.org/abs/2507.07831v1,https://github.com/soolab/simcis,medium,2507
Revisiting Audio-Visual Segmentation with Vision-Centric Transformer,https://arxiv.org/abs/2506.23623v1,https://github.com/spyflying/vct_avs,medium,2506
HalLoc: Token-level Localization of Hallucinations for Vision Language Models,https://arxiv.org/abs/2506.10286v1,https://github.com/dbsltm/cvpr25_halloc,medium,2506
Generalized Trajectory Scoring for End-to-end Multimodal Planning,https://arxiv.org/abs/2506.06664v1,https://github.com/nvlabs/gtrs,medium,2506
Diff2Flow: Training Flow Matching Models via Diffusion Model Alignment,https://arxiv.org/abs/2506.02221v1,https://github.com/compvis/diff2flow,high,2506
Silence is Golden: Leveraging Adversarial Examples to Nullify Audio Control in LDM-based Talking-Head Generation,https://arxiv.org/abs/2506.01591v1,https://github.com/yuangan/silencer,high,2506
Synthetic Generation and Latent Projection Denoising of Rim Lesions in Multiple Sclerosis,https://arxiv.org/abs/2505.23353v1,https://github.com/agr78/prlx-gan,high,2505
Wav2Sem: Plug-and-Play Audio Semantic Decoupling for 3D Speech-Driven Facial Animation,https://arxiv.org/abs/2505.23290v1,https://github.com/wslh852/wav2sem,medium,2505
ConText-CIR: Learning from Concepts in Text for Composed Image Retrieval,https://arxiv.org/abs/2505.20764v1,https://github.com/mvrl/context-cir,medium,2505
Towards Video to Piano Music Generation with Chain-of-Perform Support Benchmarks,https://arxiv.org/abs/2505.20038v1,https://github.com/acappemin/video-to-audio-and-piano,high,2505
GoLF-NRT: Integrating Global Context and Local Geometry for Few-Shot View Synthesis,https://arxiv.org/abs/2505.19813v1,https://github.com/klmav-cuc/golf-nrt,high,2505
